series,episode,baker,result
5,1,Nancy,STAR BAKER
5,2,Richard,STAR BAKER
5,3,Luis,STAR BAKER
5,4,Richard,STAR BAKER
5,5,Kate,STAR BAKER
5,6,Chetna,STAR BAKER
5,7,Richard,STAR BAKER
5,8,Richard,STAR BAKER
5,9,Richard,STAR BAKER
5,10,Nancy,WINNER
6,1,Marie,STAR BAKER
6,2,Ian,STAR BAKER
6,3,Ian,STAR BAKER
6,4,Ian,STAR BAKER
6,5,Nadiya,STAR BAKER
6,6,Mat,STAR BAKER
6,7,Tamal,STAR BAKER
6,8,Nadiya,STAR BAKER
6,9,Nadiya,STAR BAKER
6,10,Nadiya,WINNER
7,1,Jane,STAR BAKER
7,2,Candice,STAR BAKER
7,3,Tom,STAR BAKER
7,4,Benjamina,STAR BAKER
7,5,Candice,STAR BAKER
7,6,Tom,STAR BAKER
7,7,Andrew,STAR BAKER
7,8,Candice,STAR BAKER
7,9,Andrew,STAR BAKER
7,10,Candice,WINNER
8,1,Steven,STAR BAKER
8,2,Steven,STAR BAKER
8,3,Julia,STAR BAKER
8,4,Kate,STAR BAKER
8,5,Sophie,STAR BAKER
8,6,Liam,STAR BAKER
8,7,Steven,STAR BAKER
8,8,Stacey,STAR BAKER
8,9,Sophie,STAR BAKER
8,10,Sophie,WINNER
9,1,Manon,STAR BAKER
9,2,Rahul,STAR BAKER
9,3,Rahul,STAR BAKER
9,4,Dan,STAR BAKER
9,5,Kim-Joy,STAR BAKER
9,6,Briony,STAR BAKER
9,7,Kim-Joy,STAR BAKER
9,8,Ruby,STAR BAKER
9,9,Ruby,STAR BAKER
9,10,Rahul,WINNER
10,1,Michelle,STAR BAKER
10,2,Alice,STAR BAKER
10,3,Michael,STAR BAKER
10,4,Steph,STAR BAKER
10,5,Steph,STAR BAKER
10,6,Steph,STAR BAKER
10,7,Henry,STAR BAKER
10,8,Steph,STAR BAKER
10,9,Alice,STAR BAKER
10,10,David,WINNER
